Course Code,Grade,Credits
Course Code,Grade,Credits
APSC 200,At 17.2,4.00
APSC 293,At 4.3,1.00
CIVL 230,At 18.3,4.25
MECH 230,At 15.0,3.50
MINE 201,A,4.00
MINE 202,A,1.50
MTHE 225,A,3.50
APSC 100A,NG,0.00
APSC 111,A,3.50
APSC 131,A,3.50
APSC 151,At 17.2,4.00
APSC 161,A,3.50
APSGC 171,At 15.0,3.50
CLST 201,At 12.9,3.00
ECON 111,A-,11.1
MINE 321,A-,16.6
MINE 331,A-,16.6
MINE 339,C+,10.4
MINE 341,A-,16.6
APSC  100B,A-,40.7
APSC 112,B+,11.6
APSC 132,B,10.5
APSC 142,A-,11.1
APSC 172,A-,13.0
APSC 174,At 15.0,3.50
APSC 221,A,12.0
ELEC 210,A-,14.8
MINE 244,B+,9.9
MINE 267,At 14.8,4.00
MTHE 272,At 15.0,3.50
MTHE 367,B-,10.8
