University Name,Country
University of British Columbia,Canada
McGill University,Canada
University of Waterloo,Canada
University of Alberta,Canada
Simon Fraser University,Canada
Queen's University,Canada
Western University,Canada
University of Calgary,Canada
Dalhousie University,Canada
York University,Canada
Carleton University,Canada
Ryerson University,Canada
Concordia University,Canada
Université de Montréal,Canada
University of Ottawa,Canada
Université Laval,Canada
University of Saskatchewan,Canada
Brock University,Canada
University of Manitoba,Canada
Wilfrid Laurier University,Canada
University of Windsor,Canada
University of Victoria,Canada
University of Guelph,Canada
University of New Brunswick,Canada
Acadia University,Canada
Trent University,Canada
Saint Mary's University,Canada
Lakehead University,Canada
Memorial University of Newfoundland,Canada
Mount Allison University,Canada
Massachusetts Institute of Technology,USA
Stanford University,USA
Harvard University,USA
California Institute of Technology,USA
University of Oxford,United Kingdom
University of Cambridge,United Kingdom
Imperial College London,United Kingdom
University College London,United Kingdom
The University of Chicago,USA
ETH Zurich,Switzerland
National University of Singapore,Singapore
Tsinghua University,China
Peking University,China
University of California,USA
Princeton University,USA
Columbia University,USA
University of Tokyo,Japan
Yale University,USA
Cornell University,USA
University of Pennsylvania,USA
