                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1987,                 2.6146,                 1.1567,                0.76784,                0.40594,                0.46681,                0.28046,                 1.3716,                 2.4449,                 1.1249,               0.084734,               0.001734,               0.001734
                      2,                  1.107,                 1.4669,                 1.1204,                0.62988,                  0.562,                0.58458,                0.36607,                  1.338,                 2.0539,                 1.1143,               0.068552,              0.0035524,              0.0035524
                      3,                 1.1598,                 1.2678,                 1.1109,                0.50691,                0.59352,                0.56937,                0.35005,                 1.3654,                 1.9915,                 1.1898,               0.052353,              0.0053526,              0.0053526
                      4,                 1.1488,                 1.2448,                 1.1371,                0.63844,                0.63282,                0.64892,                0.38402,                  1.289,                 1.8737,                 1.1914,               0.036135,              0.0071347,              0.0071347
                      5,                 1.1203,                 1.1796,                 1.1423,                0.58665,                0.66242,                0.64362,                0.40174,                 1.1946,                 1.5715,                 1.0911,               0.019899,              0.0088986,              0.0088986
                      6,                 1.1401,                 1.1444,                 1.1244,                0.64912,                0.55295,                0.57793,                0.32624,                 1.6031,                 1.5623,                 1.3003,              0.0099481,              0.0099481,              0.0099481
                      7,                 1.1013,                 1.0901,                 1.1021,                0.57391,                0.51022,                0.56135,                0.33078,                 1.5486,                 1.4518,                 1.3472,              0.0098977,              0.0098977,              0.0098977
                      8,                 1.0859,                 1.0922,                 1.1026,                0.64242,                0.58463,                0.61973,                0.34053,                  1.585,                 1.5376,                 1.1529,              0.0098473,              0.0098473,              0.0098473
                      9,                 1.1046,                 1.1217,                 1.1173,                0.66221,                0.18011,                0.20746,                0.11351,                 2.3396,                 3.9295,                 1.8475,              0.0097969,              0.0097969,              0.0097969
                     10,                  1.112,                 1.0939,                 1.1175,                0.66884,                0.54426,                0.62811,                0.38947,                 1.4493,                 1.3192,                 1.2886,              0.0097465,              0.0097465,              0.0097465
                     11,                 1.0842,                 1.0679,                 1.0995,                0.26558,                0.23793,                 0.2524,                0.13689,                 2.3451,                 3.2414,                 1.9739,              0.0096961,              0.0096961,              0.0096961
                     12,                 1.1383,                 1.1225,                 1.1037,                0.36379,                0.33751,                0.33624,                0.17912,                  2.106,                 2.4423,                 1.9096,              0.0096457,              0.0096457,              0.0096457
                     13,                 1.1218,                  1.086,                 1.1058,                0.82652,                0.53949,                0.68192,                0.35502,                 1.6124,                 1.5779,                 1.3572,              0.0095954,              0.0095954,              0.0095954
                     14,                 1.0474,                  1.037,                  1.087,                0.75368,                0.66696,                0.76894,                0.46632,                 1.2616,                 1.0706,                 1.2519,               0.009545,               0.009545,               0.009545
                     15,                 1.1203,                 1.0385,                 1.1012,                 0.3363,                0.20114,                0.24373,                0.13133,                  2.263,                 3.1005,                 1.8674,              0.0094946,              0.0094946,              0.0094946
                     16,                 1.0514,                0.98384,                  1.079,                0.77079,                 0.6748,                0.76195,                0.48803,                 1.2301,                 1.2987,                 1.1447,              0.0094442,              0.0094442,              0.0094442
                     17,                 1.0522,                0.98466,                 1.0725,                0.49123,                0.55004,                0.57812,                0.39048,                 1.2497,                 1.2024,                 1.1052,              0.0093938,              0.0093938,              0.0093938
                     18,                 1.0355,                0.96822,                 1.0828,                0.70749,                0.67511,                0.73222,                0.47439,                 1.2812,                 1.1398,                 1.1256,              0.0093434,              0.0093434,              0.0093434
                     19,                 1.0244,                 0.9651,                 1.0655,                0.81657,                 0.6436,                 0.7355,                0.41628,                 1.3972,                 1.4334,                 1.1278,               0.009293,               0.009293,               0.009293
                     20,                  1.013,                0.97607,                 1.0785,                0.58974,                0.49867,                0.48744,                0.30947,                 1.3486,                 1.6078,                 1.1793,              0.0092427,              0.0092427,              0.0092427
                     21,                 1.0141,                0.95971,                 1.0537,                0.66468,                0.58578,                0.65442,                0.39338,                 1.3795,                 1.3758,                 1.1861,              0.0091923,              0.0091923,              0.0091923
                     22,                0.99041,                0.94846,                 1.0443,                0.73376,                0.62227,                0.68575,                0.44695,                 1.2948,                 1.1901,                 1.1867,              0.0091419,              0.0091419,              0.0091419
                     23,                 1.0354,                0.97657,                 1.0558,                0.74584,                0.73096,                0.76494,                0.47824,                 1.3069,                 1.0528,                 1.1375,              0.0090915,              0.0090915,              0.0090915
                     24,                 1.0697,                 1.0092,                 1.0647,                0.71152,                0.69865,                0.74904,                0.49009,                 1.1671,                 1.0331,                 1.0676,              0.0090411,              0.0090411,              0.0090411
                     25,                0.98729,                0.93112,                 1.0435,                0.71925,                0.66047,                 0.7177,                  0.485,                 1.1601,                 1.2598,                 1.1144,              0.0089907,              0.0089907,              0.0089907
                     26,                0.99264,                0.89142,                 1.0379,                0.70654,                0.67122,                0.72728,                0.42988,                 1.3446,                 1.2374,                 1.1294,              0.0089403,              0.0089403,              0.0089403
                     27,                0.98976,                0.89498,                 1.0459,                0.64438,                0.64842,                0.67832,                0.41048,                 1.4833,                 1.3677,                 1.2308,                0.00889,                0.00889,                0.00889
                     28,                 1.0105,                 0.9243,                 1.0625,                0.73078,                0.74946,                0.74076,                0.47606,                 1.3035,                 1.0648,                 1.1435,              0.0088396,              0.0088396,              0.0088396
                     29,                 1.0427,                0.90614,                 1.0598,                0.73882,                0.69952,                0.71918,                0.44626,                 1.2645,                 1.1361,                 1.1475,              0.0087892,              0.0087892,              0.0087892
                     30,                 1.0064,                0.91354,                 1.0373,                0.56682,                0.54438,                0.57828,                0.38003,                 1.2808,                 1.1693,                 1.1015,              0.0087388,              0.0087388,              0.0087388
                     31,                 1.0005,                0.92282,                 1.0623,                 0.5913,                0.58993,                0.60779,                0.35096,                 1.5812,                  1.455,                 1.1369,              0.0086884,              0.0086884,              0.0086884
                     32,                0.99771,                0.91095,                 1.0537,                0.76215,                0.57334,                0.68076,                0.41161,                 1.4345,                 1.4425,                 1.1474,               0.008638,               0.008638,               0.008638
                     33,                0.99318,                0.89197,                 1.0395,                0.79269,                0.64937,                0.74082,                0.47725,                 1.3292,                 1.2095,                 1.1507,              0.0085876,              0.0085876,              0.0085876
                     34,                0.97527,                0.86819,                 1.0314,                0.81634,                0.65351,                 0.7722,                0.48874,                  1.321,                 1.3306,                 1.1508,              0.0085372,              0.0085372,              0.0085372
                     35,                 0.9029,                0.81465,                 1.0212,                 0.6983,                0.71074,                0.71697,                0.47397,                 1.2579,                 1.0221,                 1.1297,              0.0084869,              0.0084869,              0.0084869
                     36,                0.96298,                0.84475,                 1.0363,                0.65998,                0.57756,                0.62229,                0.37455,                 1.5029,                 1.2671,                 1.3784,              0.0084365,              0.0084365,              0.0084365
                     37,                0.93577,                0.87936,                 1.0362,                 0.6305,                0.58216,                 0.6398,                0.35502,                 1.5885,                 1.5309,                 1.4764,              0.0083861,              0.0083861,              0.0083861
                     38,                 1.0006,                0.93609,                 1.0568,                0.55377,                0.37401,                 0.4329,                0.19483,                 2.2316,                 2.2917,                 2.1834,              0.0083357,              0.0083357,              0.0083357
                     39,                0.97509,                0.92525,                 1.0497,                0.53017,                 0.5711,                0.55746,                0.34618,                  1.439,                 1.3858,                 1.1659,              0.0082853,              0.0082853,              0.0082853
                     40,                0.97395,                0.89111,                  1.033,                0.57875,                0.51181,                0.58438,                0.34501,                 1.5095,                 1.3585,                 1.2494,              0.0082349,              0.0082349,              0.0082349
                     41,                0.96357,                0.88085,                  1.026,                0.57801,                0.68648,                0.65869,                0.44353,                 1.2861,                  1.277,                 1.0992,              0.0081845,              0.0081845,              0.0081845
                     42,                0.94919,                0.85002,                 1.0214,                0.71462,                0.61264,                0.67216,                0.42738,                 1.3615,                 1.3176,                 1.1749,              0.0081342,              0.0081342,              0.0081342
                     43,                0.97448,                0.86326,                 1.0162,                0.62257,                0.63836,                 0.6947,                 0.4459,                 1.4006,                 1.2777,                 1.3341,              0.0080838,              0.0080838,              0.0080838
                     44,                0.98374,                0.87269,                 1.0371,                0.72134,                0.67728,                0.73629,                0.49556,                 1.1879,                 1.0199,                 1.0512,              0.0080334,              0.0080334,              0.0080334
                     45,                0.91957,                0.80394,                 1.0326,                0.81531,                0.65043,                0.74158,                0.50075,                 1.1285,                 1.2428,                  1.045,               0.007983,               0.007983,               0.007983
                     46,                 0.9426,                0.84863,                 1.0407,                0.68912,                0.64774,                0.69055,                 0.4585,                 1.2672,                 1.3199,                 1.0595,              0.0079326,              0.0079326,              0.0079326
                     47,                0.94305,                0.83668,                 1.0337,                0.65208,                0.60725,                 0.6089,                0.38318,                 1.3668,                 1.2956,                 1.1007,              0.0078822,              0.0078822,              0.0078822
                     48,                0.92085,                0.85161,                 1.0271,                0.84051,                0.59169,                0.69734,                0.45471,                 1.3194,                 1.3921,                 1.0884,              0.0078318,              0.0078318,              0.0078318
                     49,                0.92887,                0.83243,                 1.0335,                0.74327,                0.72255,                0.72258,                0.51437,                  1.204,                 1.0576,                 1.1279,              0.0077814,              0.0077814,              0.0077814
                     50,                0.96755,                0.84055,                  1.031,                 0.6076,                0.72524,                0.69751,                0.46775,                 1.2433,                 1.0317,                 1.1715,              0.0077311,              0.0077311,              0.0077311
                     51,                0.93424,                0.80185,                 1.0196,                0.74395,                0.71479,                0.71577,                0.46227,                 1.2457,                 1.0462,                 1.0748,              0.0076807,              0.0076807,              0.0076807
                     52,                0.91751,                0.80438,                 1.0125,                0.80646,                0.65577,                0.71925,                0.50189,                 1.1984,                 1.0709,                 1.0336,              0.0076303,              0.0076303,              0.0076303
                     53,                0.90243,                0.80107,                 1.0059,                0.69241,                0.63751,                 0.7079,                0.42222,                 1.4399,                 1.2263,                 1.3341,              0.0075799,              0.0075799,              0.0075799
                     54,                 1.0248,                0.88602,                 1.0454,                0.71008,                0.59828,                 0.6939,                0.42448,                 1.3279,                 1.3239,                 1.1987,              0.0075295,              0.0075295,              0.0075295
                     55,                0.94402,                0.85702,                 1.0224,                0.73512,                0.64779,                0.71443,                0.48231,                 1.1743,                 1.1407,                 1.1093,              0.0074791,              0.0074791,              0.0074791
                     56,                 0.9306,                0.82683,                  1.026,                0.64725,                0.62179,                0.66048,                0.44429,                 1.1844,                 1.1806,                 1.0526,              0.0074287,              0.0074287,              0.0074287
                     57,                0.93327,                0.82334,                 1.0171,                0.66889,                0.69672,                0.70597,                0.49532,                 1.0651,                 1.0036,                 1.0255,              0.0073784,              0.0073784,              0.0073784
                     58,                0.89411,                0.80787,                 1.0066,                0.68079,                0.58924,                0.66242,                0.40461,                 1.5728,                 1.8522,                 1.3136,               0.007328,               0.007328,               0.007328
                     59,                0.94092,                0.80318,                 1.0256,                0.45619,                 0.1332,                0.24687,                0.10649,                 2.5745,                 3.8817,                 2.5735,              0.0072776,              0.0072776,              0.0072776
                     60,                0.88661,                0.78439,                 1.0144,                0.45284,                0.52179,                0.50421,                0.29593,                 1.5916,                 1.6015,                 1.3966,              0.0072272,              0.0072272,              0.0072272
                     61,                0.93041,                0.80591,                 1.0089,                0.64558,                0.57831,                0.59816,                0.37079,                 1.4425,                 1.4516,                 1.2129,              0.0071768,              0.0071768,              0.0071768
                     62,                0.87502,                0.79152,                0.99779,                0.72663,                0.69373,                0.72027,                0.47052,                 1.2774,                 1.0638,                 1.1494,              0.0071264,              0.0071264,              0.0071264
                     63,                0.91443,                0.80954,                 1.0248,                0.78052,                0.71559,                0.78415,                 0.5293,                 1.1968,                 1.0652,                 1.0857,               0.007076,               0.007076,               0.007076
                     64,                0.89539,                0.80389,                 1.0028,                0.68425,                0.80148,                0.75925,                0.52937,                  1.115,                0.85717,                 1.0771,              0.0070257,              0.0070257,              0.0070257
                     65,                0.90946,                0.80971,                 1.0204,                0.74441,                 0.7437,                0.73975,                0.51861,                 1.1191,                0.96889,                 1.0885,              0.0069753,              0.0069753,              0.0069753
                     66,                0.89545,                0.77851,                 1.0065,                 0.6866,                0.70716,                0.72306,                0.47996,                 1.2422,                 1.0371,                 1.0599,              0.0069249,              0.0069249,              0.0069249
                     67,                0.88627,                0.76655,                0.99411,                0.69182,                0.76658,                0.75737,                0.49169,                 1.2816,                 1.2227,                 1.1042,              0.0068745,              0.0068745,              0.0068745
                     68,                0.89748,                0.76967,                0.99115,                0.64003,                0.66495,                0.67703,                 0.5022,                 1.1576,                 1.2021,                 1.0512,              0.0068241,              0.0068241,              0.0068241
