                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.032,                 1.0344,                 1.0674,                0.33267,                0.43352,                 0.2913,                0.15517,                 1.5714,                 2.0046,                 1.2321,               0.089224,               0.001224,               0.001224
                      2,                0.94857,                0.87758,                 1.0012,                0.65722,                0.62507,                0.62392,                0.40252,                 1.2248,                 1.1674,                 1.0443,               0.077537,              0.0025373,              0.0025373
                      3,                0.97552,                0.87902,                 0.9993,                 0.4532,                0.56016,                 0.4928,                0.27989,                 1.4104,                 1.5648,                 1.3316,               0.065837,              0.0038373,              0.0038373
                      4,                0.93578,                0.83761,                0.98084,                0.71196,                0.67113,                0.66399,                0.42463,                 1.1461,                 1.1752,                 1.0373,               0.054124,              0.0051241,              0.0051241
                      5,                0.94034,                0.83817,                0.99826,                0.42402,                0.54718,                0.48312,                0.27476,                 1.4668,                 1.6079,                 1.3586,               0.042398,              0.0063976,              0.0063976
                      6,                0.93673,                0.80789,                0.96996,                0.58052,                0.65825,                0.62168,                0.41514,                 1.1941,                 1.1283,                 1.0499,               0.030658,              0.0076579,              0.0076579
                      7,                0.88622,                 0.7889,                0.95998,                0.53248,                0.51376,                 0.5267,                0.32737,                 1.3778,                 1.3519,                 1.3261,               0.018905,              0.0089049,              0.0089049
                      8,                0.91946,                0.82469,                0.97658,                0.55037,                0.50291,                0.52613,                0.32012,                  1.412,                 1.4252,                  1.216,              0.0098434,              0.0098434,              0.0098434
                      9,                0.95282,                 0.8542,                0.98067,                0.64764,                0.60767,                0.57132,                0.32134,                 1.5825,                  1.604,                 1.3064,              0.0097925,              0.0097925,              0.0097925
                     10,                0.97068,                0.86212,                0.98872,                0.13736,                0.15059,                0.07981,                 0.0253,                 3.0949,                 4.1485,                  4.178,              0.0097416,              0.0097416,              0.0097416
                     11,                  0.948,                 0.8146,                0.96905,                  0.365,                0.02285,                0.00292,                0.00084,                 4.3446,                 7.0327,                 3.7765,              0.0096906,              0.0096906,              0.0096906
                     12,                 0.9435,                0.82538,                0.97577,                0.03235,                0.06566,                0.01778,                0.00562,                 3.3117,                 5.3111,                 2.7362,              0.0096397,              0.0096397,              0.0096397
                     13,                0.91368,                0.79593,                0.97112,                0.11675,                0.12987,                0.05828,                0.01886,                 3.4716,                 3.0623,                 3.0437,              0.0095887,              0.0095887,              0.0095887
                     14,                0.93781,                0.80067,                 0.9615,                0.48251,                0.40627,                0.39012,                0.21065,                 1.7097,                 1.9116,                 1.3008,              0.0095378,              0.0095378,              0.0095378
                     15,                 0.9315,                0.79077,                0.96157,                0.19212,                0.34241,                0.15894,                0.05096,                 2.7698,                 3.2529,                 2.6648,              0.0094869,              0.0094869,              0.0094869
                     16,                0.91211,                0.81054,                0.96471,                0.57287,                0.66919,                0.63854,                0.41016,                 1.1596,                 1.2593,                 1.0599,              0.0094359,              0.0094359,              0.0094359
                     17,                0.90609,                0.81625,                0.96458,                 0.6001,                0.62874,                0.63391,                0.42403,                 1.2027,                 1.2637,                 1.0585,               0.009385,               0.009385,               0.009385
                     18,                0.93794,                0.82375,                0.96473,                 0.6302,                0.58314,                0.57848,                0.32306,                 1.5601,                 1.7195,                 1.3082,               0.009334,               0.009334,               0.009334
                     19,                0.92424,                0.83527,                0.97617,                0.54734,                0.47463,                0.49071,                0.27327,                  1.469,                 1.4101,                 1.1823,              0.0092831,              0.0092831,              0.0092831
                     20,                0.93752,                0.82509,                0.98432,                0.61308,                0.57943,                0.61155,                 0.3649,                 1.4664,                  1.403,                 1.3714,              0.0092322,              0.0092322,              0.0092322
                     21,                0.95966,                0.83715,                0.99086,                 0.5629,                0.46642,                0.51848,                0.31812,                 1.4002,                 1.6999,                 1.1967,              0.0091812,              0.0091812,              0.0091812
                     22,                0.93276,                0.80149,                0.97168,                0.70196,                0.71136,                0.71786,                0.47512,                 1.1198,                0.95279,                 1.0095,              0.0091303,              0.0091303,              0.0091303
                     23,                0.92296,                0.79352,                0.95841,                0.78312,                0.70532,                0.76501,                0.50597,                 1.0912,                0.96283,                 1.0144,              0.0090793,              0.0090793,              0.0090793
                     24,                0.88563,                0.75494,                0.94832,                0.66116,                0.72022,                0.72579,                0.48648,                 1.0669,                  1.006,                 1.0541,              0.0090284,              0.0090284,              0.0090284
                     25,                0.87065,                0.72865,                0.94356,                0.75844,                0.70242,                0.75146,                0.49166,                 1.1673,                 1.0747,                 1.0579,              0.0089775,              0.0089775,              0.0089775
                     26,                0.89497,                0.75381,                0.94571,                 0.7248,                0.69707,                0.73026,                0.46693,                 1.1398,                 1.0129,                 1.0393,              0.0089265,              0.0089265,              0.0089265
                     27,                0.87712,                0.72945,                0.95082,                0.65067,                0.67213,                0.68389,                0.44615,                 1.1294,                 1.2039,                 1.0154,              0.0088756,              0.0088756,              0.0088756
                     28,                0.88459,                 0.7425,                0.94667,                0.73475,                 0.5828,                0.66055,                0.42153,                 1.2628,                 1.1803,                 1.1078,              0.0088247,              0.0088247,              0.0088247
                     29,                0.87056,                0.72186,                0.94282,                0.78648,                0.62212,                0.68715,                0.45805,                 1.1734,                 1.2339,                0.98344,              0.0087737,              0.0087737,              0.0087737
                     30,                0.84907,                0.70308,                0.93828,                0.65566,                0.59411,                0.63905,                0.45025,                 1.1672,                 1.2315,                 1.0386,              0.0087228,              0.0087228,              0.0087228
                     31,                0.83492,                0.70765,                0.94176,                0.72254,                0.69048,                0.73997,                0.46831,                 1.3551,                 1.1751,                 1.2066,              0.0086718,              0.0086718,              0.0086718
                     32,                0.86138,                0.70933,                0.92877,                0.55297,                0.59204,                0.60692,                0.40638,                 1.1443,                 1.1164,                0.99862,              0.0086209,              0.0086209,              0.0086209
                     33,                0.84343,                0.70912,                 0.9348,                  0.611,                0.64242,                 0.6472,                0.43992,                   1.14,                 1.0536,                 1.0005,                0.00857,                0.00857,                0.00857
                     34,                0.90112,                0.77018,                0.95777,                 0.6661,                0.63197,                0.67034,                0.41589,                 1.2813,                 1.2628,                 1.0828,               0.008519,               0.008519,               0.008519
                     35,                0.89065,                0.77163,                0.95412,                0.57347,                0.60798,                0.58414,                 0.3642,                 1.3497,                 1.5277,                 1.1735,              0.0084681,              0.0084681,              0.0084681
                     36,                0.88356,                 0.7593,                0.94284,                0.55294,                0.62616,                0.60419,                0.38023,                 1.2525,                 1.2825,                 1.1675,              0.0084171,              0.0084171,              0.0084171
                     37,                0.86194,                0.72496,                0.93557,                0.69765,                 0.7159,                0.73123,                0.47784,                 1.0838,                0.98988,                0.99798,              0.0083662,              0.0083662,              0.0083662
                     38,                0.86569,                0.71508,                0.92459,                0.67261,                0.75075,                0.74038,                 0.4655,                 1.1892,                 1.0432,                 1.1192,              0.0083153,              0.0083153,              0.0083153
                     39,                0.83225,                0.68468,                0.92422,                0.70895,                0.62118,                0.68515,                0.45985,                 1.1297,                 1.1868,                 1.0296,              0.0082643,              0.0082643,              0.0082643
                     40,                0.82745,                0.68365,                 0.9319,                0.80118,                0.53109,                0.61732,                0.39286,                 1.4309,                 1.5211,                 1.1545,              0.0082134,              0.0082134,              0.0082134
                     41,                0.84275,                0.71001,                0.92189,                0.25228,                 0.3594,                0.20054,                  0.091,                 2.1317,                  2.169,                 1.8284,              0.0081625,              0.0081625,              0.0081625
                     42,                0.87495,                0.72147,                0.94356,                0.38659,                0.62049,                0.48822,                0.22841,                 2.0607,                 1.8075,                 2.1919,              0.0081115,              0.0081115,              0.0081115
                     43,                0.87245,                0.72269,                0.93868,                0.59001,                0.57576,                0.58329,                0.35715,                 1.3934,                 1.2397,                 1.3112,              0.0080606,              0.0080606,              0.0080606
                     44,                0.83961,                0.69696,                0.92448,                0.52659,                0.54118,                0.54041,                0.35697,                 1.2837,                 1.2857,                 1.1444,              0.0080096,              0.0080096,              0.0080096
                     45,                0.83983,                0.71117,                0.93335,                0.32306,                0.34003,                0.25657,                0.13331,                  2.208,                 2.2593,                 2.0024,              0.0079587,              0.0079587,              0.0079587
                     46,                0.82343,                0.68229,                0.92933,                0.38176,                0.44281,                  0.347,                0.18656,                 1.7789,                 2.0378,                 1.6424,              0.0079078,              0.0079078,              0.0079078
                     47,                0.83308,                 0.6879,                0.93055,                0.53167,                0.62611,                0.60641,                0.40242,                 1.1879,                 1.2921,                 1.0627,              0.0078568,              0.0078568,              0.0078568
                     48,                0.84319,                0.69668,                0.94022,                0.71649,                0.69498,                0.74434,                0.50634,                 1.0303,                0.99632,                0.98757,              0.0078059,              0.0078059,              0.0078059
                     49,                0.82178,                  0.673,                0.91994,                0.85363,                0.60419,                0.74867,                0.48435,                 1.1975,                 1.1151,                 1.0243,              0.0077549,              0.0077549,              0.0077549
                     50,                0.86956,                0.70969,                0.93328,                0.70522,                0.69481,                0.71011,                0.48068,                 1.1837,                 1.2139,                   1.12,               0.007704,               0.007704,               0.007704
                     51,                0.82322,                0.68501,                0.92978,                0.70402,                0.60365,                 0.6191,                0.41693,                 1.1659,                 1.3536,                 1.0096,              0.0076531,              0.0076531,              0.0076531
                     52,                 0.8686,                0.70721,                0.94144,                0.49057,                0.50378,                0.45886,                0.29674,                 1.2234,                 1.3872,                 1.0453,              0.0076021,              0.0076021,              0.0076021
                     53,                0.82707,                0.66535,                0.91955,                0.63423,                0.55701,                0.58584,                0.39642,                 1.1698,                 1.2516,                 1.0395,              0.0075512,              0.0075512,              0.0075512
                     54,                0.82005,                0.66066,                0.92112,                 0.6794,                0.69991,                0.72203,                0.47074,                 1.1327,                 1.0483,                 1.1165,              0.0075003,              0.0075003,              0.0075003
                     55,                 0.8272,                0.68797,                0.93132,                0.65411,                0.64926,                0.67228,                0.46048,                 1.0315,                 1.0041,                0.96702,              0.0074493,              0.0074493,              0.0074493
                     56,                0.78958,                0.64527,                 0.9174,                0.79566,                 0.6203,                0.70775,                0.47689,                 1.1119,                 1.1121,                0.98356,              0.0073984,              0.0073984,              0.0073984
                     57,                0.81202,                0.65812,                0.92283,                0.75016,                0.67792,                0.72146,                0.51047,                 1.0407,                 1.1177,                 0.9905,              0.0073474,              0.0073474,              0.0073474
                     58,                0.82336,                0.66016,                0.92892,                0.82675,                0.70844,                0.78578,                0.56099,                 1.0108,                0.97299,                0.96962,              0.0072965,              0.0072965,              0.0072965
                     59,                0.83183,                0.66782,                0.93131,                0.77273,                0.56903,                0.65934,                0.45036,                 1.1955,                 1.2734,                 1.0087,              0.0072456,              0.0072456,              0.0072456
                     60,                 0.8604,                0.69959,                0.94383,                 0.7063,                0.51821,                0.59726,                0.37585,                 1.3372,                 1.4576,                  1.054,              0.0071946,              0.0071946,              0.0071946
                     61,                0.90555,                0.71045,                0.93349,                0.52357,                0.55482,                0.53176,                0.32352,                 1.2788,                 1.3833,                 1.1106,              0.0071437,              0.0071437,              0.0071437
                     62,                0.86584,                0.69344,                0.94056,                0.72708,                0.72099,                0.76162,                0.46694,                 1.3128,                 1.1104,                 1.1982,              0.0070927,              0.0070927,              0.0070927
                     63,                0.80397,                0.63542,                0.91812,                0.56911,                 0.5873,                0.59282,                0.38523,                 1.3177,                 1.2922,                 1.1751,              0.0070418,              0.0070418,              0.0070418
                     64,                0.82823,                0.68266,                 0.9299,                0.70748,                0.65608,                0.71348,                0.48388,                 1.0538,                 1.0539,                 1.0272,              0.0069909,              0.0069909,              0.0069909
                     65,                0.81269,                0.65576,                0.92651,                0.80059,                0.64149,                0.71591,                0.50711,                 1.0842,                 1.1866,                 1.0188,              0.0069399,              0.0069399,              0.0069399
                     66,                0.81534,                0.66493,                0.92714,                0.73959,                 0.6493,                0.73135,                0.50739,                0.98318,                0.97405,                0.95756,               0.006889,               0.006889,               0.006889
                     67,                0.79063,                 0.6407,                0.91398,                0.43563,                0.57023,                0.42932,                0.26217,                 1.4782,                 1.6321,                 1.3717,               0.006838,               0.006838,               0.006838
                     68,                0.80582,                0.64629,                0.91142,                0.72903,                0.61633,                0.66875,                0.43229,                 1.2924,                 1.2596,                 1.1777,              0.0067871,              0.0067871,              0.0067871
                     69,                0.79467,                0.65241,                0.91898,                0.53394,                0.52261,                0.54381,                0.28245,                 1.7536,                  1.759,                 1.9448,              0.0067362,              0.0067362,              0.0067362
                     70,                0.81953,                0.66672,                0.91304,                0.67022,                0.70069,                0.72969,                0.48133,                 1.1913,                 1.0279,                  1.088,              0.0066852,              0.0066852,              0.0066852
                     71,                0.82127,                0.64718,                0.91412,                0.75929,                0.64132,                0.69745,                0.45142,                 1.2398,                 1.1066,                 1.0132,              0.0066343,              0.0066343,              0.0066343
                     72,                0.80844,                 0.6431,                0.91704,                0.78675,                0.65591,                0.74152,                0.52773,                 1.0693,                 1.0813,                0.94554,              0.0065834,              0.0065834,              0.0065834
                     73,                0.78954,                0.61821,                0.91054,                0.90411,                0.62373,                0.75248,                0.53665,                0.99871,                 1.0322,                 0.9203,              0.0065324,              0.0065324,              0.0065324
                     74,                 0.7918,                0.62526,                0.90956,                0.71905,                 0.7202,                0.74327,                0.53427,                0.98717,                0.93426,                0.92169,              0.0064815,              0.0064815,              0.0064815
                     75,                0.78448,                0.63055,                0.91827,                 0.7248,                0.74071,                0.76278,                0.56015,                0.97168,                0.89905,                0.96998,              0.0064305,              0.0064305,              0.0064305
                     76,                0.78893,                0.64072,                0.91392,                0.84539,                0.72357,                0.75766,                0.54986,                0.97743,                0.89641,                 0.9703,              0.0063796,              0.0063796,              0.0063796
                     77,                0.77988,                 0.6315,                0.92154,                0.82454,                 0.6702,                0.76258,                0.52662,                 1.0191,                  1.088,                 1.0177,              0.0063287,              0.0063287,              0.0063287
                     78,                 0.7969,                0.64456,                0.91169,                0.80374,                0.68325,                0.78594,                0.53211,                 1.0962,                 1.0155,                0.97624,              0.0062777,              0.0062777,              0.0062777
                     79,                0.81213,                0.64763,                 0.9183,                0.68802,                0.65569,                0.69654,                 0.4837,                  1.094,                 1.2138,                0.97532,              0.0062268,              0.0062268,              0.0062268
                     80,                0.79038,                0.64042,                0.90801,                0.77454,                0.68066,                0.76422,                0.53108,                   1.02,                 1.1142,                 1.0313,              0.0061758,              0.0061758,              0.0061758
                     81,                0.76168,                0.60197,                0.89641,                 0.8047,                0.70927,                0.75766,                0.52686,                 1.0322,                 1.0532,                 0.9788,              0.0061249,              0.0061249,              0.0061249
                     82,                  0.777,                0.62111,                 0.9139,                0.62212,                 0.6033,                0.62782,                0.45048,                 1.0636,                 1.1785,                 1.0114,               0.006074,               0.006074,               0.006074
                     83,                 0.7864,                0.64062,                0.91909,                0.73932,                0.74548,                0.75606,                0.52875,                   1.04,                0.95629,                 1.0027,               0.006023,               0.006023,               0.006023
                     84,                0.77621,                0.62394,                0.90732,                0.37593,                0.40696,                0.29771,                0.13757,                 1.8536,                 2.0317,                 1.7667,              0.0059721,              0.0059721,              0.0059721
                     85,                0.78736,                0.64038,                0.91522,                0.64666,                0.61733,                0.60586,                0.41502,                 1.1046,                  1.202,                0.98326,              0.0059212,              0.0059212,              0.0059212
                     86,                0.79583,                0.65767,                0.91585,                0.83675,                0.59438,                0.69857,                 0.4449,                 1.3295,                  1.352,                 1.1618,              0.0058702,              0.0058702,              0.0058702
                     87,                0.77727,                0.62578,                0.91067,                0.71026,                 0.7036,                0.72192,                0.50473,                  1.118,                 1.1584,                 0.9609,              0.0058193,              0.0058193,              0.0058193
                     88,                0.81029,                0.63891,                0.91434,                0.69991,                0.69177,                0.70047,                  0.477,                 1.0802,                 1.0162,                0.93881,              0.0057683,              0.0057683,              0.0057683
                     89,                0.79166,                0.62127,                0.90364,                0.43981,                0.54336,                0.44206,                0.28465,                 1.4267,                 1.5566,                 1.3062,              0.0057174,              0.0057174,              0.0057174
                     90,                0.77543,                0.61132,                0.89355,                0.72407,                0.69277,                0.73226,                0.52795,                0.96415,                 1.0142,                0.93875,              0.0056665,              0.0056665,              0.0056665
                     91,                0.74014,                0.58006,                0.88822,                0.78682,                0.73179,                0.77169,                0.55591,                0.94452,                0.97606,                 0.9124,              0.0056155,              0.0056155,              0.0056155
                     92,                0.77467,                0.59927,                0.90333,                0.82046,                0.65708,                 0.7685,                0.53093,                 1.0626,                 1.1817,                 1.0082,              0.0055646,              0.0055646,              0.0055646
                     93,                0.80095,                0.60963,                0.90612,                0.80555,                0.68238,                0.75027,                0.53264,                 1.0336,                0.92102,                0.95737,              0.0055136,              0.0055136,              0.0055136
                     94,                0.77909,                0.60195,                0.90889,                0.82622,                0.70972,                0.78464,                0.52603,                 1.1464,                 1.0212,                 1.0778,              0.0054627,              0.0054627,              0.0054627
                     95,                0.72228,                0.58621,                0.89847,                0.88222,                0.70546,                0.81652,                0.60301,                0.92497,                0.84696,                0.92541,              0.0054118,              0.0054118,              0.0054118
                     96,                0.73608,                0.58191,                0.89121,                0.79858,                0.74685,                0.78534,                0.56853,                  0.997,                0.93094,                0.95866,              0.0053608,              0.0053608,              0.0053608
                     97,                0.80194,                0.61743,                0.91152,                0.89375,                0.68856,                0.78547,                0.57302,                0.97337,                0.91048,                0.94991,              0.0053099,              0.0053099,              0.0053099
                     98,                0.75873,                0.59808,                0.89838,                0.90712,                0.65518,                0.77819,                0.56041,                0.91308,                0.89286,                0.95348,               0.005259,               0.005259,               0.005259
                     99,                0.74316,                0.58265,                0.89291,                0.78497,                0.79021,                0.80842,                0.55966,                0.96089,                0.90991,                0.96674,               0.005208,               0.005208,               0.005208
                    100,                0.72404,                0.56034,                0.88809,                0.80987,                0.73796,                 0.7994,                0.54704,                0.97987,                 1.0028,                0.97015,              0.0051571,              0.0051571,              0.0051571
                    101,                0.74237,                0.56586,                0.89181,                 0.7942,                0.71381,                0.79156,                0.54448,                0.96341,                0.89703,                0.93714,              0.0051061,              0.0051061,              0.0051061
                    102,                0.72885,                0.56236,                0.89103,                0.79992,                0.74048,                0.79184,                0.56806,                0.96725,                0.97598,                0.93982,              0.0050552,              0.0050552,              0.0050552
                    103,                0.72752,                0.56725,                 0.8928,                0.79662,                0.73003,                0.80253,                0.57132,                0.90223,                0.81557,                0.95179,              0.0050043,              0.0050043,              0.0050043
                    104,                0.80542,                0.59861,                0.90158,                0.78075,                0.70295,                0.78361,                0.53038,                 1.0468,                0.92854,                0.96039,              0.0049533,              0.0049533,              0.0049533
                    105,                 0.8135,                0.58963,                0.90591,                 0.8016,                0.67658,                0.76584,                0.55248,                 1.0014,                 0.8764,                0.94891,              0.0049024,              0.0049024,              0.0049024
                    106,                0.75565,                 0.5669,                0.89767,                0.76358,                0.73655,                0.79213,                0.56898,                0.94228,                0.85993,                0.92954,              0.0048514,              0.0048514,              0.0048514
                    107,                0.72563,                0.56276,                0.89011,                0.84271,                 0.6699,                0.78262,                0.57608,                0.94457,                0.88105,                0.94684,              0.0048005,              0.0048005,              0.0048005
                    108,                0.74096,                0.57111,                 0.8811,                0.79946,                0.73057,                 0.7764,                0.55952,                0.94914,                0.90928,                0.94811,              0.0047496,              0.0047496,              0.0047496
                    109,                0.73841,                0.58117,                0.89483,                0.25071,                0.37078,                0.23343,                0.12536,                  2.009,                 2.1088,                 1.8725,              0.0046986,              0.0046986,              0.0046986
                    110,                0.77009,                0.60667,                0.90411,                0.60746,                0.53611,                0.53794,                0.33552,                 1.3903,                 1.6774,                 1.2903,              0.0046477,              0.0046477,              0.0046477
                    111,                0.73879,                0.58927,                0.88799,                0.68886,                0.75847,                0.73748,                0.53597,                0.96974,                0.94104,                0.90973,              0.0045967,              0.0045967,              0.0045967
                    112,                0.74856,                0.58671,                0.89537,                0.80337,                0.67889,                0.75673,                0.53634,                0.97884,                 1.0078,                0.94569,              0.0045458,              0.0045458,              0.0045458
                    113,                0.74082,                0.59009,                0.89079,                0.69251,                0.69937,                0.69984,                0.48481,                 1.0102,                 1.0706,                 1.0014,              0.0044949,              0.0044949,              0.0044949
                    114,                0.74829,                0.58662,                 0.8893,                0.85052,                0.68203,                0.77543,                0.54622,                 0.9898,                 1.0443,                0.98265,              0.0044439,              0.0044439,              0.0044439
                    115,                0.70302,                0.55857,                0.87831,                0.77549,                0.71509,                0.76827,                0.55016,                0.94622,                0.98262,                0.97094,               0.004393,               0.004393,               0.004393
                    116,                0.71709,                0.56792,                0.88803,                0.77236,                0.72682,                 0.7675,                0.55269,                0.96184,                 0.9565,                0.95021,              0.0043421,              0.0043421,              0.0043421
                    117,                0.76342,                0.59572,                0.89208,                0.68024,                 0.7126,                0.70826,                0.51146,                0.96666,                0.93461,                 0.9399,              0.0042911,              0.0042911,              0.0042911
                    118,                0.73577,                0.56423,                0.89051,                0.72923,                0.74493,                0.77821,                0.56119,                 0.9063,                0.82435,                0.95806,              0.0042402,              0.0042402,              0.0042402
                    119,                0.73427,                0.56831,                0.89082,                 0.6872,                0.65866,                0.68268,                0.49793,                0.95919,                0.94635,                0.94303,              0.0041892,              0.0041892,              0.0041892
                    120,                0.72607,                0.57054,                0.89379,                0.75907,                0.68666,                  0.731,                0.51374,                 1.0106,                0.90932,                 1.0006,              0.0041383,              0.0041383,              0.0041383
                    121,                0.69971,                 0.5544,                0.88586,                0.78123,                0.73498,                 0.7793,                0.56225,                0.91434,                0.85271,                0.90239,              0.0040874,              0.0040874,              0.0040874
                    122,                0.69305,                0.54244,                0.87998,                0.80555,                0.73819,                0.79444,                0.57018,                0.93651,                0.79572,                0.94779,              0.0040364,              0.0040364,              0.0040364
                    123,                  0.708,                0.55326,                0.88749,                 0.6756,                0.69601,                0.72411,                0.50261,                 1.0399,                0.87712,                0.99501,              0.0039855,              0.0039855,              0.0039855
                    124,                0.69125,                0.53129,                0.87935,                0.71933,                0.73621,                0.71621,                0.51475,                0.92997,                0.87476,                0.91159,              0.0039345,              0.0039345,              0.0039345
                    125,                0.69761,                 0.5213,                0.88311,                 0.7747,                 0.6969,                0.75844,                0.54544,                0.94477,                0.89514,                0.91327,              0.0038836,              0.0038836,              0.0038836
                    126,                0.71651,                0.53533,                0.87805,                0.78703,                0.66907,                0.74693,                0.53526,                 0.9907,                0.88677,                0.94478,              0.0038327,              0.0038327,              0.0038327
                    127,                0.70143,                0.52284,                0.87605,                0.89473,                0.63178,                0.75418,                0.52681,                 1.0243,                0.89959,                0.95826,              0.0037817,              0.0037817,              0.0037817
                    128,                0.71721,                0.53593,                0.88855,                0.81615,                0.75411,                0.81012,                0.58534,                0.95112,                0.83781,                0.92483,              0.0037308,              0.0037308,              0.0037308
                    129,                0.69502,                0.51736,                0.88461,                0.83127,                0.74024,                0.81726,                0.60762,                  0.875,                0.79788,                 0.8924,              0.0036799,              0.0036799,              0.0036799
                    130,                0.69844,                0.54057,                0.88679,                0.77055,                0.73986,                0.79328,                0.58219,                0.91698,                 0.8048,                0.94541,              0.0036289,              0.0036289,              0.0036289
                    131,                0.69615,                0.53704,                0.87583,                0.69604,                0.66993,                0.69232,                0.48057,                 1.0137,                 1.1504,                 1.0182,               0.003578,               0.003578,               0.003578
                    132,                0.68661,                 0.5151,                0.87386,                0.72995,                0.76242,                0.78652,                0.55123,                0.97294,                0.89702,                0.96917,               0.003527,               0.003527,               0.003527
                    133,                0.70098,                0.52224,                0.88128,                0.80066,                0.73595,                0.79425,                0.58228,                0.94067,                0.93787,                0.98928,              0.0034761,              0.0034761,              0.0034761
                    134,                0.70242,                0.53279,                 0.8777,                0.87885,                0.67395,                0.76471,                0.56298,                0.92486,                0.94379,                 0.9254,              0.0034252,              0.0034252,              0.0034252
                    135,                0.68718,                0.52504,                 0.8815,                0.75866,                0.73809,                0.74981,                0.54135,                0.93873,                0.88567,                 0.9387,              0.0033742,              0.0033742,              0.0033742
                    136,                0.68071,                0.51906,                0.87182,                0.26428,                0.12224,                0.08471,                0.03995,                 3.1635,                 2.9634,                 3.0165,              0.0033233,              0.0033233,              0.0033233
