                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1992,                 4.3195,                 3.5418,                 0.0014,                0.07143,                0.00172,                0.00017,                 4.5551,                 4.3845,                 3.5399,               0.096408,               0.000408,               0.000408
                      2,                 3.5767,                  3.945,                 2.7271,                0.00636,                0.45238,                0.01247,                0.00303,                 3.2352,                 3.8805,                 2.6457,               0.091913,             0.00091347,             0.00091347
                      3,                 2.8143,                 3.0601,                 1.9332,                0.02972,                0.09524,                0.01304,                 0.0022,                 3.7959,                 6.4091,                  13.58,               0.087414,              0.0014139,              0.0014139
                      4,                 2.6151,                  2.814,                  1.841,                0.50712,                0.07143,                0.00449,                0.00131,                 3.8066,                 16.277,                 19.527,               0.082909,              0.0019093,              0.0019093
                      5,                 2.4123,                 2.4978,                 1.6369,                0.57182,                0.35714,                0.08587,                0.02931,                  3.242,                  16.34,                 21.086,                 0.0784,              0.0023996,              0.0023996
                      6,                 2.3801,                   2.47,                 1.6436,                 0.0322,                0.04762,                0.01024,                0.00407,                  3.903,                 13.524,                 12.925,               0.073885,              0.0028849,              0.0028849
                      7,                  2.367,                 2.3006,                 1.6048,                0.00339,                0.19048,                0.00294,                 0.0008,                 3.6704,                    inf,                 28.561,               0.069365,              0.0033652,              0.0033652
                      8,                 2.3098,                 2.3949,                   1.62,                0.00034,                0.02381,                0.00021,                  4e-05,                 3.2825,                    inf,                 13.862,                0.06484,              0.0038404,              0.0038404
                      9,                 2.4123,                  2.386,                 1.6294,                0.00579,                0.11905,                0.00271,                0.00098,                 3.8784,                 293.85,                  19.98,               0.060311,              0.0043106,              0.0043106
                     10,                 2.3142,                 2.4499,                 1.6075,                0.00556,                 0.2381,                 0.0068,                0.00159,                 3.7877,                    inf,                 29.223,               0.055776,              0.0047758,              0.0047758
                     11,                 2.3232,                 2.4983,                 1.6478,                 0.0642,                0.36905,                0.09443,                0.02623,                 3.1045,                 152.32,                 10.834,               0.051236,              0.0052359,              0.0052359
                     12,                 2.1768,                 2.3344,                 1.6038,                  0.075,                0.28571,                0.09547,                 0.0221,                 3.0665,                 84.387,                 6.0919,               0.046691,               0.005691,               0.005691
                     13,                 2.2075,                 2.3466,                 1.5422,                0.06522,                0.07143,                  0.066,                0.02133,                 2.9231,                 58.632,                  4.667,               0.042141,               0.006141,               0.006141
                     14,                 2.1115,                 2.2145,                 1.4839,                0.04562,                0.14286,                0.05292,                0.00875,                 3.4397,                 32.688,                 4.2744,               0.037586,               0.006586,               0.006586
